Table:CsvBattle,,,,,,,,,,,,,,,,,,,,
tid,name:s,diff_num,physic_power,times_limit,map1:s,map2:s,map3:s,item_award_show:a,boss_face_tid,body_dire,desc:s,hero_exp1,hero_exp2,hero_exp3,drop_group1,drop_group2,drop_group3,prob_group1,prob_group2,prob_group3
#,名字,有几个难度,体力消耗,次数限制,战斗1地图,战斗2地图,战斗3地图,物品奖励（显示用）,显示BOSS头像,指挥官站位方向,副本说明,英雄经验,英雄经验,英雄经验,难度1掉落,难度2掉落,难度3掉落,假概率难度1,假概率难度2,假概率难度3
10101,狗头人营地,1,6,99,BeiJunXiuDaoYuan,BeiJunXiuDaoYuan,BeiJunXiuDaoYuan,"107,108,",,118,北郡山谷中狗头人的活动日益增加。他们在修道院附近建立营地，而且数量众多。,50,,,101011,,,,,
10102,北郡山谷,1,6,99,BeiJunXiuDaoYuan,BeiJunXiuDaoYuan,BeiJunXiuDaoYuan,"107,108,",,118,关于狼群袭击北郡的报告最近有所增加。虽然狼群很少袭击人类，但是他们数量的激增给农夫增加了很多麻烦。,60,,,101021,,,,,
10103,回音山矿洞,1,6,99,BeiJunXiuDaoYuan,BeiJunXiuDaoYuan,BeiJunXiuDaoYuan,"107,108,",,118,调查证实，回音山矿洞需要一次清剿行动。回到矿洞那边，清除那里所有的狗头人吧。,70,,,101031,,,,,
10104,米莉的葡萄园,1,6,99,BeiJunXiuDaoYuan,BeiJunXiuDaoYuan,BeiJunXiuDaoYuan,"107,108,",,118,一伙迪菲亚盗贼趁葡萄收割的时候闯进了北郡农场！消灭他们！,80,,,101041,,,,,
10105,加瑞克的赏金,1,6,99,BeiJunXiuDaoYuan,BeiJunXiuDaoYuan,BeiJunXiuDaoYuan,"107,108,",94,118,加瑞克·帕德弗特，这个恶棍几周以来一直让农民和商人心惊胆战。带他的徽记回来见我，然后领取赏金吧！,90,,,101051,,,,,
10201,石碑湖,1,6,10,AiErWenSenLin,AiErWenSenLin,AiErWenSenLin,"107,108,100031",,118,暴风城军队悬赏清除那些闪金森林内的鱼人潜伏者和鱼人强盗。杀了它们，把它们破损的鱼人鳞片带回来。,90,,,102011,,,,,
10202,东谷伐木场,1,6,99,AiErWenSenLin,AiErWenSenLin,AiErWenSenLin,"107,108,",,118,这里的狼和熊把伐木工人追得满地跑，否则的话他们早就把木材的问题解决了。,100,,,102021,,,,,
10203,南瓜田,1,6,10,AiErWenSenLin,AiErWenSenLin,AiErWenSenLin,"107,108,100051,11011",114,118,布拉克威尔一家有一头得过奖的猪，它名叫“公主”。这头母猪巨大无比，还经常偷偷溜到农场里偷吃蔬菜！,110,,,102031,,,,,
10204,水晶湖,1,6,99,AiErWenSenLin,AiErWenSenLin,AiErWenSenLin,"107,108,",,118,鱼人正陆续从闪金森林东部的河流里游过来，把鱼都给吓跑了，而且它们还攻击平民！,110,,,102041,,,,,
