Table:CsvQuestion,,,
tid,question:s,answer1:s,answer2:s
#answer1必须为正确答案,,,
1,竞技场中，每天有几次免费次数？,5次,10次
2,体力多长时间回复一点？,5分钟,10分钟
3,魔兽电影中，吴彦祖扮演的角色叫什么？,古尔丹,吴尔丹
4,精力多长时间回复一点？,15分钟,20分钟
5,萨尔的父亲是谁？,杜隆坦 ,奥格瑞姆 
6,联盟领袖暴风王国国王莱恩·乌瑞恩是被谁杀死的？,迦罗娜,洛萨
7,游戏中第一个获得的指挥官是什么职业？,法师,刺客
8,铁炉堡这个名字指的是？,城市,副本
9,“兽人永不为奴”是谁喊出来的？,格罗姆地狱咆哮,熊猫人
10,逐风者的祝福之剑是什么武器？,橙色剑,粉色锤
11,伊利丹的职业是什么？,恶魔猎手,圣骑士
12,凯恩·血蹄和萨尔是什么关系？,挚友,夫妻
13,希尔瓦娜斯在三姐妹中排行第几,第二,第三
14,奥蕾莉亚·风行者是希尔瓦娜斯的谁,姐姐,妹妹
15,阿尔萨斯的老师是谁？,乌瑟尔,安东尼达斯
16,达拉然首席大法师是谁的头衔,安东尼达斯,克尔苏加德
17,赫米特·奈辛瓦里是什么种族的,矮人,巨魔
18,安其拉神殿是多少人的副本,40人,25人
19,怒焰裂谷是哪个阵营可以进入的副本,部落,联盟
20,魔兽中，大伙称为“蛋刀”的是？,埃辛诺斯战刃,屠龙宝刀
21,凯尔萨斯是什么种族？,血精灵,暗夜精灵
22,伊利丹‧怒风消灭巫妖王失败后，藏身在哪？,外域,蒙古包
23,伊利丹‧怒风是什么种族的？,暗夜精灵,侏儒
24,北郡修道院坐落于暴风城的那个方位,东部,中部
25,暴风城是哪个阵营的主城之一？,联盟,部落
26,沃金是什么氏族的首领？,暗矛氏族,明枪氏族
27,欺诈者是谁的称号？,基尔加丹 ,奈法里安
28,被尊称为“不朽者”的是？,先知维纶,泰兰德
29,迦罗娜的种族是什么种族？,半兽人,暗夜精灵
30,紫罗兰城堡是哪个城市的建筑？,达拉然,幽暗城
31,埃索达是德莱尼人的主城，他们的首领是谁？,先知维伦,泰兰德·语风
32,黑翼之巢这个副本是多少人的副本？,40人,10人
33,血牙套装是盗贼的T几套装？,T2,T1
